,NAME,S1901_C04_012E
536,ZCTA5 02351,43792
537,ZCTA5 02356,54569
538,ZCTA5 02357,-
539,ZCTA5 02359,67713
540,ZCTA5 02360,50605
541,ZCTA5 02364,49813
542,ZCTA5 02366,-
543,ZCTA5 02367,32750
544,ZCTA5 02368,56344
545,ZCTA5 02370,46057
546,ZCTA5 02375,51842
547,ZCTA5 02379,49063
548,ZCTA5 02382,50694
549,ZCTA5 02420,62760
550,ZCTA5 02421,84007
551,ZCTA5 02445,93889
552,ZCTA5 02446,70910
553,ZCTA5 02451,69659
554,ZCTA5 02452,71964
555,ZCTA5 02453,80505
556,ZCTA5 02457,-
557,ZCTA5 02458,75469
558,ZCTA5 02459,103056
559,ZCTA5 02460,90341
560,ZCTA5 02461,81786
561,ZCTA5 02462,46563
562,ZCTA5 02464,72026
563,ZCTA5 02465,124125
564,ZCTA5 02466,37279
565,ZCTA5 02467,70000
566,ZCTA5 02468,-
567,ZCTA5 02472,79541
568,ZCTA5 02474,72608
569,ZCTA5 02476,62368
570,ZCTA5 02478,70078
571,ZCTA5 02481,68385
572,ZCTA5 02482,79583
573,ZCTA5 02492,95938
574,ZCTA5 02493,58269
575,ZCTA5 02494,43750
576,ZCTA5 02532,45526
577,ZCTA5 02534,75469
578,ZCTA5 02535,62917
579,ZCTA5 02536,48085
580,ZCTA5 02537,69464
581,ZCTA5 02538,36979
582,ZCTA5 02539,52561
583,ZCTA5 02540,34963
584,ZCTA5 02542,56875
585,ZCTA5 02543,60927
586,ZCTA5 02553,-
587,ZCTA5 02554,54250
588,ZCTA5 02556,73095
589,ZCTA5 02557,52419
590,ZCTA5 02558,35339
591,ZCTA5 02559,34756
592,ZCTA5 02561,53279
593,ZCTA5 02562,58029
594,ZCTA5 02563,60990
595,ZCTA5 02564,-
596,ZCTA5 02568,50476
597,ZCTA5 02571,57031
598,ZCTA5 02575,68750
599,ZCTA5 02576,42781
600,ZCTA5 02584,-
601,ZCTA5 02601,34390
602,ZCTA5 02630,65188
603,ZCTA5 02631,36012
604,ZCTA5 02632,58811
605,ZCTA5 02633,55278
606,ZCTA5 02635,53661
607,ZCTA5 02637,-
608,ZCTA5 02638,79079
