START DATE(UTC), END DATE(UTC), START TIME(LOCAL), END TIME(LOCAL), DURATION, NAME, LOCATION, NOTE
2/12/20 20:19, 2020-02-12 20:59:23, 2020-02-12 12:19:24 PST, 2020-02-12 12:59:23 PST,2399, Home, , 
2/12/20 20:59, 2020-02-12 21:02:41, 2020-02-12 12:59:22 PST, 2020-02-12 13:02:41 PST,199, Commute to work, , 
2/12/20 20:59, 2020-02-12 21:02:40, 2020-02-12 12:59:23 PST, 2020-02-12 13:02:40 PST,197, Walk, , 
2/12/20 21:02, 2020-02-12 21:55:15, 2020-02-12 13:02:41 PST, 2020-02-12 13:55:15 PST,3154, School, , 
2/12/20 21:55, 2020-02-12 22:04:01, 2020-02-12 13:55:14 PST, 2020-02-12 14:04:01 PST,527, Commute to home, , 
2/12/20 21:55, 2020-02-12 22:04:00, 2020-02-12 13:55:15 PST, 2020-02-12 14:04:00 PST,525, Walk, , 
2/12/20 22:04, 2020-02-12 23:50:04, 2020-02-12 14:04:01 PST, 2020-02-12 15:50:04 PST,6363, Home, , 
2/12/20 23:50, 2020-02-12 23:54:42, 2020-02-12 15:50:06 PST, 2020-02-12 15:54:42 PST,276, Transport, , 
2/13/20 0:22, 2020-02-13 00:27:48, 2020-02-12 16:22:46 PST, 2020-02-12 16:27:48 PST,302, Transport, , 
2/13/20 0:27, 2020-02-13 00:36:10, 2020-02-12 16:27:48 PST, 2020-02-12 16:36:10 PST,502, Home, , 
2/13/20 0:36, 2020-02-13 00:45:11, 2020-02-12 16:36:25 PST, 2020-02-12 16:45:11 PST,526, Transport, , 
2/13/20 0:55, 2020-02-13 00:58:28, 2020-02-12 16:55:27 PST, 2020-02-12 16:58:28 PST,181, Transport, , 
2/13/20 0:59, 2020-02-13 01:11:19, 2020-02-12 16:59:29 PST, 2020-02-12 17:11:19 PST,710, Walk, , 
2/13/20 1:11, 2020-02-13 01:29:04, 2020-02-12 17:11:46 PST, 2020-02-12 17:29:04 PST,1038, Transport, , 
2/13/20 2:13, 2020-02-13 02:15:39, 2020-02-12 18:13:27 PST, 2020-02-12 18:15:39 PST,132, Transport, , 
2/13/20 2:15, 2020-02-13 15:49:18, 2020-02-12 18:15:39 PST, 2020-02-13 07:49:18 PST,48819, Home, , 
2/13/20 9:30, 2020-02-13 14:48:42, 2020-02-13 01:30:24 PST, 2020-02-13 06:48:42 PST,19098, Sleep, , 
2/13/20 15:49, 2020-02-13 15:54:28, 2020-02-13 07:49:17 PST, 2020-02-13 07:54:28 PST,311, Commute to work, , 
2/13/20 15:49, 2020-02-13 15:54:27, 2020-02-13 07:49:18 PST, 2020-02-13 07:54:27 PST,309, Walk, , 
2/13/20 15:54, 2020-02-13 18:58:11, 2020-02-13 07:54:28 PST, 2020-02-13 10:58:11 PST,11023, School, Math and Science (Bldg 38), 
2/13/20 18:58, 2020-02-13 19:05:48, 2020-02-13 10:58:10 PST, 2020-02-13 11:05:48 PST,458, Commute to home, , 
2/13/20 18:58, 2020-02-13 19:02:48, 2020-02-13 10:58:11 PST, 2020-02-13 11:02:48 PST,277, Transport, , 
2/13/20 19:05, 2020-02-13 19:37:10, 2020-02-13 11:05:48 PST, 2020-02-13 11:37:10 PST,1882, Home, , 
2/13/20 19:37, 2020-02-13 19:40:51, 2020-02-13 11:37:09 PST, 2020-02-13 11:40:51 PST,222, Commute to work, , 
2/13/20 19:40, 2020-02-13 22:00:38, 2020-02-13 11:40:51 PST, 2020-02-13 14:00:38 PST,8387, School, , 
2/13/20 22:00, 2020-02-13 22:06:38, 2020-02-13 14:00:37 PST, 2020-02-13 14:06:38 PST,361, Commute to home, , 
2/13/20 22:01, 2020-02-13 22:06:38, 2020-02-13 14:01:27 PST, 2020-02-13 14:06:38 PST,311, Transport, , 
2/13/20 22:06, 2020-02-14 01:50:06, 2020-02-13 14:06:38 PST, 2020-02-13 17:50:06 PST,13408, Home, , 
2/14/20 1:50, 2020-02-14 02:20:37, 2020-02-13 17:50:05 PST, 2020-02-13 18:20:37 PST,1832, Commute to work, , 
2/14/20 1:50, 2020-02-14 01:52:25, 2020-02-13 17:50:06 PST, 2020-02-13 17:52:25 PST,139, Transport, , 
2/14/20 1:56, 2020-02-14 02:04:25, 2020-02-13 17:56:51 PST, 2020-02-13 18:04:25 PST,454, Walk, , 
2/14/20 2:04, 2020-02-14 02:09:32, 2020-02-13 18:04:26 PST, 2020-02-13 18:09:32 PST,306, Transport, , 
2/14/20 2:09, 2020-02-14 02:20:00, 2020-02-13 18:09:32 PST, 2020-02-13 18:20:00 PST,628, Groceries, Ferrini, 
2/14/20 2:20, 2020-02-14 02:23:56, 2020-02-13 18:20:37 PST, 2020-02-13 18:23:56 PST,199, Work, , 
2/14/20 2:38, 2020-02-14 02:45:17, 2020-02-13 18:38:05 PST, 2020-02-13 18:45:17 PST,432, Work, , 
2/14/20 2:55, 2020-02-14 03:00:15, 2020-02-13 18:55:15 PST, 2020-02-13 19:00:15 PST,300, Work, , 
2/14/20 3:06, 2020-02-14 03:10:55, 2020-02-13 19:06:50 PST, 2020-02-13 19:10:55 PST,245, Work, , 
2/14/20 3:10, 2020-02-14 03:26:46, 2020-02-13 19:10:55 PST, 2020-02-13 19:26:46 PST,951, Work, Five Guys, 
2/14/20 3:27, 2020-02-14 03:32:35, 2020-02-13 19:27:20 PST, 2020-02-13 19:32:35 PST,315, Work, , 
2/14/20 3:40, 2020-02-14 03:50:28, 2020-02-13 19:40:18 PST, 2020-02-13 19:50:28 PST,610, Work, , 
2/14/20 3:50, 2020-02-14 03:50:28, 2020-02-13 19:50:27 PST, 2020-02-13 19:50:28 PST,1, Commute to home, , 
2/14/20 3:50, 2020-02-14 03:58:28, 2020-02-13 19:50:28 PST, 2020-02-13 19:58:28 PST,480, Home, , 
2/14/20 4:07, 2020-02-14 04:16:57, 2020-02-13 20:07:36 PST, 2020-02-13 20:16:57 PST,561, Transport, , 
2/14/20 4:19, 2020-02-14 04:29:04, 2020-02-13 20:19:32 PST, 2020-02-13 20:29:04 PST,572, Walk, , 
2/14/20 4:29, 2020-02-14 04:55:14, 2020-02-13 20:29:05 PST, 2020-02-13 20:55:14 PST,1569, Fun, San Luis Obispo Farmers' Market, 
